id,brand,name,display_size,main_camera,selfie_camera,chipset,storage_and_ram,battary,price
1,Acer,Allegro,"['3.6', 'inches,', '36.9', 'cm2']","['Single', '5', 'MP,', 'AF']","['NaN', 'No']","['Qualcomm', 'MSM8255', 'Snapdragon', 'S2']",['8GB'],"['Removable', 'Li-Ion', '1300', 'mAh', 'battery']",NaN
2,Acer,beTouch E100,"['3.2', 'inches,', '29.1', 'cm2']","['Single', '2', 'MP']",NaN,"['Qualcomm', 'MSM7225', 'Snapdragon', 'S1']","['256MB', 'RAM,', '512MB', 'ROM']","['Removable', 'Li-Ion', '1140', 'mAh', 'battery']","['About', '140', 'EUR']"
3,Acer,beTouch E101,"['3.2', 'inches,', '29.1', 'cm2']","['Single', '2', 'MP']",NaN,"['Qualcomm', 'MSM7225', 'Snapdragon', 'S1']","['256MB', 'RAM,', '512MB', 'ROM']","['Removable', 'Li-Ion', '1140', 'mAh', 'battery']",NaN
4,Acer,beTouch E110,"['2.8', 'inches,', '24.3', 'cm2']","['Single', '3.15', 'MP']","['NaN', 'No']",NaN,"['256MB', 'RAM,', '256MB']","['Removable', 'Li-Ion', '1500', 'mAh', 'battery']",NaN
5,Acer,beTouch E120,"['2.8', 'inches,', '24.3', 'cm2']","['Single', '3.15', 'MP']","['NaN', 'No']",NaN,"['256MB', 'RAM,', '512MB']","['Removable', 'Li-Ion', '1500', 'mAh', 'battery']","['About', '70', 'EUR']"
6,Acer,beTouch E130,"['2.6', 'inches,', '20.9', 'cm2']","['Single', '3.15', 'MP']","['NaN', 'No']","['ST', 'Ericsson', 'PNX6715']","['256MB', 'RAM,', '512MB']","['Removable', 'Li-Ion', '1500', 'mAh', 'battery']","['About', '70', 'EUR']"
7,Acer,beTouch E140,"['2.8', 'inches,', '24.3', 'cm2']","['Single', '3.15', 'MP']","['NaN', 'No']","['Qualcomm', 'MSM7227', 'Snapdragon', 'S1']","['256MB', 'RAM,', '512MB']","['Removable', 'Li-Ion', '1300', 'mAh', 'battery']","['About', '90', 'EUR']"
8,Acer,beTouch E200,"['3.0', 'inches,', '25.6', 'cm2']","['Single', '3.15', 'MP']",NaN,"['Qualcomm', 'MSM7225', 'Snapdragon', 'S1']","['256MB', 'RAM,', '512MB', 'ROM']","['Removable', 'Li-Ion', '1140', 'mAh', 'battery']","['About', '110', 'EUR']"
9,Acer,beTouch E210,"['2.6', 'inches,', '20.9', 'cm2']","['Single', '3.15', 'MP']","['NaN', 'No']","['Qualcomm', 'MSM7227', 'Snapdragon', 'S1']","['256MB', 'RAM,', '512MB']","['Removable', 'Li-Ion', '1300', 'mAh', 'battery']","['About', '190', 'EUR']"
10,Acer,beTouch E400,"['3.2', 'inches,', '30.5', 'cm2']","['Single', '3.15', 'MP,', 'AF']","['NaN', 'No']","['Qualcomm', 'MSM7227', 'Snapdragon', 'S1']","['256MB', 'RAM,', '512MB']","['Removable', 'Li-Po', '1090', 'mAh', 'battery']",NaN
11,Acer,beTouch T500,"['3.2', 'inches,', '30.5', 'cm2']","['Single', '3.15', 'MP']","['NaN', 'No']",NaN,"['256MB', 'RAM,', '512MB']","['Removable', 'Li-Ion', '1500', 'mAh', 'battery']","['About', '80', 'EUR']"
12,Acer,Chromebook Tab 10,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '5', 'MP']","['Single', '2', 'MP']","['Rockchip', 'RK3399']","['32GB', '4GB', 'RAM']","['Non-removable', 'Li-Po', '4500', 'mAh', 'battery', '(34', 'Wh)']","['About', '70', 'EUR']"
13,Acer,CloudMobile S500,"['4.3', 'inches,', '51.0', 'cm2']","['Single', '8', 'MP,', 'AF']","['NaN', 'HD']","['Qualcomm', 'MSM8260A', 'Snapdragon', 'S4', 'Plus']","['8GB', '1GB', 'RAM']","['Removable', 'Li-Ion', '1460', 'mAh', 'battery']","['About', '330', 'EUR']"
14,Acer,DX650,"['2.8', 'inches,', '24.3', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '1260', 'mAh', 'battery']","['About', '220', 'EUR']"
15,Acer,DX900,"['2.8', 'inches,', '24.3', 'cm2']","['Single', '3.15', 'MP,', 'AF']","['Single', 'VGA', 'videocall', 'camera']",NaN,"['128MB', 'RAM,', '256MB', 'ROM']","['Removable', 'Li-Po', '1530', 'mAh', 'battery']","['About', '150', 'EUR']"
16,Acer,F900,"['3.8', 'inches,', '41.1', 'cm2']","['Single', '3.15', 'MP,', 'AF']","['NaN', 'No']",NaN,"['128MB', 'RAM,', '256MB', 'ROM']","['Removable', 'Li-Ion', '1530', 'mAh', 'battery']","['About', '90', 'EUR']"
17,Acer,Iconia A1-830,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Intel', 'Atom', 'Z2560']","['16GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '4000', 'mAh', 'battery']",NaN
18,Acer,Iconia B1-720,"['7.0', 'inches,', '137.9', 'cm2']","['Single', 'VGA']","['NaN', 'No']","['Mediatek', 'MT8111']","['8GB', '1GB', 'RAM,', '16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '2955', 'mAh', 'battery']","['About', '130', 'EUR']"
19,Acer,Iconia B1-721,"['7.0', 'inches,', '137.9', 'cm2']","['Single', 'VGA']","['NaN', 'No']","['Mediatek', 'MT8312', '(28', 'nm)']","['16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '2955', 'mAh', 'battery']","['About', '100', 'EUR']"
20,Acer,Iconia One 7 B1-730,"['7.0', 'inches,', '142.1', 'cm2']","['Single', '5', 'MP']","['Single', 'Yes']","['Intel', 'Atom', 'Z2560']","['8GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '3700', 'mAh', 'battery']","['About', '130', 'EUR']"
21,Acer,Iconia One 8 B1-820,"['8.0', 'inches,', '185.6', 'cm2']","['Single', '5', 'MP']","['Single', 'VGA']","['Intel', 'Atom', 'Z3735G']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '4550', 'mAh', 'battery', '(17.2', 'Wh)']","['About', '90', 'EUR']"
22,Acer,Iconia Smart,"['4.8', 'inches,', '57.1', 'cm2']","['Single', '8', 'MP,', 'AF']","['Single', '2', 'MP']","['Qualcomm', 'MSM8255-1', 'Snapdragon', 'S2']","['8GB', '512MB', 'RAM']","['Removable', 'Li-Po', '1500', 'mAh', 'battery']","['About', '180', 'EUR']"
23,Acer,Iconia Tab 10 A3-A30,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP']","['Single', '2', 'MP']","['Intel', 'Atom', 'Z3735F']","['16GB', '2GB', 'RAM,', '32GB', '2GB', 'RAM,', '64GB', '2GB', 'RAM']","['Non-removable', 'Li-Ion', '5910', 'mAh', 'battery', '(22', 'Wh)']","['About', '220', 'EUR']"
24,Acer,Iconia Tab 10 A3-A40,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP']","['Single', '2', 'MP']","['Mediatek', 'MT8163A']","['16GB', '2GB', 'RAM,', '32GB', '2GB', 'RAM,', '64GB', '2GB', 'RAM']","['Non-removable', 'Li-Ion', '6100', 'mAh', 'battery']","['About', '250', 'EUR']"
25,Acer,Iconia Tab 7 A1-713,"['7.0', 'inches,', '137.9', 'cm2']","['Single', '2', 'MP']","['Single', 'Yes']",NaN,"['16GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '3400', 'mAh', 'battery']","['About', '230', 'EUR']"
26,Acer,Iconia Tab 7 A1-713HD,"['7.0', 'inches,', '142.1', 'cm2']","['Single', '5', 'MP']","['Single', 'Yes']",NaN,"['16GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '3400', 'mAh', 'battery']","['About', '110', 'EUR']"
27,Acer,Iconia Tab 8 A1-840FHD,"['8.0', 'inches,', '185.6', 'cm2']","['Single', '5', 'MP']","['Single', '2', 'MP']","['Intel', 'Atom', 'Z3745']","['16GB', '2GB', 'RAM,', '32GB', '2GB', 'RAM']","['Non-removable', 'Li-Ion', '4600', 'mAh', 'battery']","['About', '150', 'EUR']"
28,Acer,Iconia Tab A1-810,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', 'VGA']","['Mediatek', 'MT8125', '(28', 'nm)']","['8GB', '1GB', 'RAM,', '16GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '4960', 'mAh', 'battery', '(18.6', 'Wh)']","['About', '200', 'EUR']"
29,Acer,Iconia Tab A1-811,"['7.9', 'inches,', '193.3', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', 'VGA']","['Mediatek', 'MT8389W']","['8GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '4960', 'mAh', 'battery', '(18.6', 'Wh)']","['About', '120', 'EUR']"
30,Acer,Iconia Tab A100,"['7.0', 'inches,', '137.9', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Nvidia', 'Tegra', '2', 'T20']","['8GB', '1GB', 'RAM,', '16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '1530', 'mAh', 'battery']","['About', '150', 'EUR']"
31,Acer,Iconia Tab A101,"['7.0', 'inches,', '137.9', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Nvidia', 'Tegra', '2', 'T20']","['8GB', '1GB', 'RAM,', '16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '1530', 'mAh', 'battery']","['About', '100', 'EUR']"
32,Acer,Iconia Tab A110,"['7.0', 'inches,', '137.9', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']","['Nvidia', 'Tegra', '3', 'T30L']","['8GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '3420', 'mAh', 'battery', '(12.7', 'Wh)']","['About', '260', 'EUR']"
33,Acer,Iconia Tab A200,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']","['Nvidia', 'Tegra', '2', 'T20']","['8GB', '1GB', 'RAM,', '16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '3260', 'mAh', 'battery']","['About', '150', 'EUR']"
34,Acer,Iconia Tab A210,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']","['Nvidia', 'Tegra', '3']","['8GB', '1GB', 'RAM,', '16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '3260', 'mAh', 'battery']","['About', '200', 'EUR']"
35,Acer,Iconia Tab A3,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP']","['Single', 'VGA']","['Mediatek', 'MT8125T', '-', 'Wi-FiMediatek', 'MT8389W', '-', '3G']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '7300', 'mAh', 'battery', '(27', 'Wh)']","['About', '260', 'EUR']"
36,Acer,Iconia Tab A3-A20,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Mediatek', 'MT8127', '(28', 'nm)']","['16GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '5910', 'mAh', 'battery', '(A3-A20-K...']","['About', '190', 'EUR']"
37,Acer,Iconia Tab A3-A20FHD,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Mediatek', 'MT8127', '(28', 'nm)']","['32GB', '2GB', 'RAM']","['Non-removable', 'Li-Po', '5910', 'mAh', 'battery', '(A3-A20FH...']","['About', '190', 'EUR']"
38,Acer,Iconia Tab A500,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Nvidia', 'Tegra', '2', 'T20']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '3260', 'mAh', 'battery']","['About', '230', 'EUR']"
39,Acer,Iconia Tab A501,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '2', 'MP']","['Nvidia', 'Tegra', '2', 'T20']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '3260', 'mAh', 'battery', '(24.1', 'Wh)']","['About', '200', 'EUR']"
40,Acer,Iconia Tab A510,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '1', 'MP']","['Nvidia', 'Tegra', '3']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '9800', 'mAh', 'battery', '(36', 'Wh)']","['About', '490', 'EUR']"
41,Acer,Iconia Tab A511,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '1', 'MP']","['Nvidia', 'Tegra', '3']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '9800', 'mAh', 'battery', '(36', 'Wh)']","['About', '230', 'EUR']"
42,Acer,Iconia Tab A700,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', 'Yes']","['Nvidia', 'Tegra', '3']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM']","['Non-removable', 'Li-Ion', '9800', 'mAh', 'battery']","['About', '250', 'EUR']"
43,Acer,Iconia Tab A701,"['10.1', 'inches,', '295.8', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', 'Yes']","['Nvidia', 'Tegra', '3']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '9800', 'mAh', 'battery', '(36', 'Wh)']","['About', '230', 'EUR']"
